
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
172652        0x2A26C         CRC32 polynomial table, little endian
176952        0x2B338         LZO compressed data
179116        0x2BBAC         Android bootimg, kernel size: 0 bytes, kernel addr: 0x70657250, ramdisk size: 543519329 bytes, ramdisk addr: 0x6E72656B, product name: "mem boot start"
262144        0x40000         uImage header, header size: 64 bytes, header CRC: 0x49214A6D, created: 2018-08-13 04:34:17, image size: 1839513 bytes, Data Address: 0x80010000, Entry Point: 0x803F5300, data CRC: 0x75F5071C, OS: Linux, CPU: MIPS, image type: OS Kernel Image, compression type: lzma, image name: "Linux-3.10.14"
262208        0x40040         LZMA compressed data, properties: 0x5D, dictionary size: 67108864 bytes, uncompressed size: -1 bytes
2359296       0x240000        Squashfs filesystem, little endian, version 4.0, compression:xz, size: 3352028 bytes, 406 inodes, blocksize: 131072 bytes, created: 2019-07-22 02:21:23
5832704       0x590000        Squashfs filesystem, little endian, version 4.0, compression:xz, size: 571974 bytes, 12 inodes, blocksize: 131072 bytes, created: 2019-01-23 02:55:16
6488144       0x630050        Zlib compressed data, compressed
6489860       0x630704        Zlib compressed data, compressed
6491540       0x630D94        Zlib compressed data, compressed
6493244       0x63143C        JFFS2 filesystem, little endian
6498612       0x632934        Zlib compressed data, compressed
6500232       0x632F88        Zlib compressed data, compressed
6501952       0x633640        Zlib compressed data, compressed
6503676       0x633CFC        Zlib compressed data, compressed
6505348       0x634384        Zlib compressed data, compressed
6505528       0x634438        JFFS2 filesystem, little endian
6619216       0x650050        Zlib compressed data, compressed
6620724       0x650634        Zlib compressed data, compressed
6621448       0x650908        Zlib compressed data, compressed
6623316       0x651054        Zlib compressed data, compressed
6626072       0x651B18        Zlib compressed data, compressed
6626664       0x651D68        JFFS2 filesystem, little endian
6628748       0x65258C        Zlib compressed data, compressed
6630704       0x652D30        Zlib compressed data, compressed
6633492       0x653814        Zlib compressed data, compressed
6633952       0x6539E0        JFFS2 filesystem, little endian
6635804       0x65411C        Zlib compressed data, compressed
6637716       0x654894        Zlib compressed data, compressed
6640180       0x655234        Zlib compressed data, compressed
6640892       0x6554FC        JFFS2 filesystem, little endian
